Date,DayName,Month,Holiday
2020-07-07,Tuesday,July,no
2020-07-08,Wednesday,July,no
2020-07-09,Thursday,July,no
2020-07-10,Friday,July,no
2020-07-11,Saturday,July,half
2020-07-12,Sunday,July,yes
2020-07-13,Monday,July,no
2020-07-14,Tuesday,July,no
2020-07-15,Wednesday,July,no
2020-07-16,Thursday,July,no
2020-07-17,Friday,July,no
2020-07-18,Saturday,July,half
2020-07-19,Sunday,July,yes
2020-07-20,Monday,July,no
2020-07-21,Tuesday,July,no
2020-07-22,Wednesday,July,no
2020-07-23,Thursday,July,no
2020-07-24,Friday,July,no
2020-07-25,Saturday,July,half
2020-07-26,Sunday,July,yes
2020-07-27,Monday,July,no
2020-07-28,Tuesday,July,no
2020-07-29,Wednesday,July,no
2020-07-30,Thursday,July,no
2020-07-31,Friday,July,no
2020-08-01,Saturday,August,half
2020-08-02,Sunday,August,yes
2020-08-03,Monday,August,no
2020-08-04,Tuesday,August,no
2020-08-05,Wednesday,August,no
2020-08-06,Thursday,August,no
2020-08-07,Friday,August,no
2020-08-08,Saturday,August,half
2020-08-09,Sunday,August,yes
2020-08-10,Monday,August,no
2020-08-11,Tuesday,August,no
2020-08-12,Wednesday,August,yes
2020-08-13,Thursday,August,no
2020-08-14,Friday,August,no
2020-08-15,Saturday,August,half
2020-08-16,Sunday,August,yes
2020-08-17,Monday,August,no
2020-08-18,Tuesday,August,no
2020-08-19,Wednesday,August,no
2020-08-20,Thursday,August,no
2020-08-21,Friday,August,no
2020-08-22,Saturday,August,half
2020-08-23,Sunday,August,yes
2020-08-24,Monday,August,no
2020-08-25,Tuesday,August,no
2020-08-26,Wednesday,August,no
2020-08-27,Thursday,August,no
2020-08-28,Friday,August,no
2020-08-29,Saturday,August,half
2020-08-30,Sunday,August,yes
2020-08-31,Monday,August,no
2020-09-01,Tuesday,September,no
2020-09-02,Wednesday,September,no
2020-09-03,Thursday,September,no
2020-09-04,Friday,September,no
2020-09-05,Saturday,September,half
2020-09-06,Sunday,September,yes
2020-09-07,Monday,September,no
2020-09-08,Tuesday,September,no
2020-09-09,Wednesday,September,no
2020-09-10,Thursday,September,no
2020-09-11,Friday,September,no
2020-09-12,Saturday,September,half
2020-09-13,Sunday,September,yes
2020-09-14,Monday,September,no
2020-09-15,Tuesday,September,no
2020-09-16,Wednesday,September,no
2020-09-17,Thursday,September,no
2020-09-18,Friday,September,no
2020-09-19,Saturday,September,half
2020-09-20,Sunday,September,yes
2020-09-21,Monday,September,no
2020-09-22,Tuesday,September,no
2020-09-23,Wednesday,September,no
2020-09-24,Thursday,September,no
2020-09-25,Friday,September,no
2020-09-26,Saturday,September,half
2020-09-27,Sunday,September,yes
2020-09-28,Monday,September,no
2020-09-29,Tuesday,September,no
2020-09-30,Wednesday,September,no
2020-10-01,Thursday,October,no
2020-10-02,Friday,October,no
2020-10-03,Saturday,October,half
2020-10-04,Sunday,October,yes
2020-10-05,Monday,October,no
2020-10-06,Tuesday,October,no
2020-10-07,Wednesday,October,no
2020-10-08,Thursday,October,no
2020-10-09,Friday,October,no
2020-10-10,Saturday,October,half
2020-10-11,Sunday,October,yes
2020-10-12,Monday,October,no
2020-10-13,Tuesday,October,no
2020-10-14,Wednesday,October,no
2020-10-15,Thursday,October,no
2020-10-16,Friday,October,no
2020-10-17,Saturday,October,half
2020-10-18,Sunday,October,yes
2020-10-19,Monday,October,no
2020-10-20,Tuesday,October,no
2020-10-21,Wednesday,October,no
2020-10-22,Thursday,October,no
2020-10-23,Friday,October,no
2020-10-24,Saturday,October,half
2020-10-25,Sunday,October,yes
2020-10-26,Monday,October,no
2020-10-27,Tuesday,October,no
2020-10-28,Wednesday,October,no
2020-10-29,Thursday,October,no
2020-10-30,Friday,October,no
2020-10-31,Saturday,October,half
2020-11-01,Sunday,November,yes
2020-11-02,Monday,November,no
2020-11-03,Tuesday,November,no
2020-11-04,Wednesday,November,no
2020-11-05,Thursday,November,no
2020-11-06,Friday,November,no
2020-11-07,Saturday,November,half
2020-11-08,Sunday,November,yes
2020-11-09,Monday,November,no
2020-11-10,Tuesday,November,no
2020-11-11,Wednesday,November,no
2020-11-12,Thursday,November,no
2020-11-13,Friday,November,no
2020-11-14,Saturday,November,half
2020-11-15,Sunday,November,yes
2020-11-16,Monday,November,no
2020-11-17,Tuesday,November,no
2020-11-18,Wednesday,November,no
2020-11-19,Thursday,November,no
2020-11-20,Friday,November,no
2020-11-21,Saturday,November,half
2020-11-22,Sunday,November,yes
2020-11-23,Monday,November,no
2020-11-24,Tuesday,November,no
2020-11-25,Wednesday,November,no
2020-11-26,Thursday,November,no
2020-11-27,Friday,November,no
2020-11-28,Saturday,November,half
2020-11-29,Sunday,November,yes
2020-11-30,Monday,November,no
2020-12-01,Tuesday,December,no
2020-12-02,Wednesday,December,no
2020-12-03,Thursday,December,no
2020-12-04,Friday,December,no
2020-12-05,Saturday,December,half
2020-12-06,Sunday,December,yes
2020-12-07,Monday,December,no
2020-12-08,Tuesday,December,no
2020-12-09,Wednesday,December,no
2020-12-10,Thursday,December,no
2020-12-11,Friday,December,no
2020-12-12,Saturday,December,half
2020-12-13,Sunday,December,yes
2020-12-14,Monday,December,no
2020-12-15,Tuesday,December,no
2020-12-16,Wednesday,December,no
2020-12-17,Thursday,December,no
2020-12-18,Friday,December,no
2020-12-19,Saturday,December,half
2020-12-20,Sunday,December,yes
2020-12-21,Monday,December,no
2020-12-22,Tuesday,December,no
2020-12-23,Wednesday,December,no
2020-12-24,Thursday,December,no
2020-12-25,Friday,December,no
2020-12-26,Saturday,December,half
2020-12-27,Sunday,December,yes
2020-12-28,Monday,December,no
2020-12-29,Tuesday,December,no
2020-12-30,Wednesday,December,no
2020-12-31,Thursday,December,no
2021-01-01,Friday,January,yes
2021-01-02,Saturday,January,half
2021-01-03,Sunday,January,yes
2021-01-04,Monday,January,no
2021-01-05,Tuesday,January,yes
2021-01-06,Wednesday,January,no
2021-01-07,Thursday,January,no
2021-01-08,Friday,January,no
2021-01-09,Saturday,January,half
2021-01-10,Sunday,January,yes
2021-01-11,Monday,January,no
2021-01-12,Tuesday,January,no
2021-01-13,Wednesday,January,no
2021-01-14,Thursday,January,no
2021-01-15,Friday,January,no
2021-01-16,Saturday,January,half
2021-01-17,Sunday,January,yes
2021-01-18,Monday,January,no
2021-01-19,Tuesday,January,no
2021-01-20,Wednesday,January,no
2021-01-21,Thursday,January,no
2021-01-22,Friday,January,no
2021-01-23,Saturday,January,half
2021-01-24,Sunday,January,yes
2021-01-25,Monday,January,no
2021-01-26,Tuesday,January,no
2021-01-27,Wednesday,January,no
2021-01-28,Thursday,January,no
2021-01-29,Friday,January,no
2021-01-30,Saturday,January,half
2021-01-31,Sunday,January,yes
2021-02-01,Monday,February,no
2021-02-02,Tuesday,February,no
2021-02-03,Wednesday,February,no
2021-02-04,Thursday,February,no
2021-02-05,Friday,February,no
2021-02-06,Saturday,February,yes
2021-02-07,Sunday,February,yes
2021-02-08,Monday,February,no
2021-02-09,Tuesday,February,no
2021-02-10,Wednesday,February,no
2021-02-11,Thursday,February,no
2021-02-12,Friday,February,no
2021-02-13,Saturday,February,half
2021-02-14,Sunday,February,yes
2021-02-15,Monday,February,no
2021-02-16,Tuesday,February,no
2021-02-17,Wednesday,February,no
2021-02-18,Thursday,February,no
2021-02-19,Friday,February,no
2021-02-20,Saturday,February,half
2021-02-21,Sunday,February,yes
2021-02-22,Monday,February,no
2021-02-23,Tuesday,February,no
2021-02-24,Wednesday,February,no
2021-02-25,Thursday,February,no
2021-02-26,Friday,February,no
2021-02-27,Saturday,February,half
2021-02-28,Sunday,February,yes
2021-03-01,Monday,March,no
2021-03-02,Tuesday,March,no
2021-03-03,Wednesday,March,no
2021-03-04,Thursday,March,no
2021-03-05,Friday,March,no
2021-03-06,Saturday,March,half
2021-03-07,Sunday,March,yes
2021-03-08,Monday,March,no
2021-03-09,Tuesday,March,no
2021-03-10,Wednesday,March,no
2021-03-11,Thursday,March,no
2021-03-12,Friday,March,no
2021-03-13,Saturday,March,half
2021-03-14,Sunday,March,yes
2021-03-15,Monday,March,no
2021-03-16,Tuesday,March,no
2021-03-17,Wednesday,March,no
2021-03-18,Thursday,March,no
2021-03-19,Friday,March,no
2021-03-20,Saturday,March,half
2021-03-21,Sunday,March,yes
2021-03-22,Monday,March,no
2021-03-23,Tuesday,March,no
2021-03-24,Wednesday,March,no
2021-03-25,Thursday,March,no
2021-03-26,Friday,March,no
2021-03-27,Saturday,March,half
2021-03-28,Sunday,March,yes
2021-03-29,Monday,March,no
2021-03-30,Tuesday,March,no
2021-03-31,Wednesday,March,no
2021-04-01,Thursday,April,no
2021-04-02,Friday,April,no
2021-04-03,Saturday,April,half
2021-04-04,Sunday,April,yes
2021-04-05,Monday,April,no
2021-04-06,Tuesday,April,no
2021-04-07,Wednesday,April,no
2021-04-08,Thursday,April,no
2021-04-09,Friday,April,no
2021-04-10,Saturday,April,half
2021-04-11,Sunday,April,yes
2021-04-12,Monday,April,no
2021-04-13,Tuesday,April,no
2021-04-14,Wednesday,April,no
2021-04-15,Thursday,April,no
2021-04-16,Friday,April,no
2021-04-17,Saturday,April,half
2021-04-18,Sunday,April,yes
2021-04-19,Monday,April,no
2021-04-20,Tuesday,April,no
2021-04-21,Wednesday,April,no
2021-04-22,Thursday,April,no
2021-04-23,Friday,April,no
2021-04-24,Saturday,April,half
2021-04-25,Sunday,April,yes
2021-04-26,Monday,April,no
2021-04-27,Tuesday,April,no
2021-04-28,Wednesday,April,no
2021-04-29,Thursday,April,no
2021-04-30,Friday,April,no
2021-05-01,Saturday,May,half
2021-05-02,Sunday,May,yes
2021-05-03,Monday,May,no
2021-05-04,Tuesday,May,yes
2021-05-05,Wednesday,May,no
2021-05-06,Thursday,May,no
2021-05-07,Friday,May,no
2021-05-08,Saturday,May,half
2021-05-09,Sunday,May,yes
2021-05-10,Monday,May,no
2021-05-11,Tuesday,May,no
2021-05-12,Wednesday,May,no
2021-05-13,Thursday,May,no
2021-05-14,Friday,May,no
2021-05-15,Saturday,May,half
2021-05-16,Sunday,May,yes
2021-05-17,Monday,May,no
2021-05-18,Tuesday,May,no
2021-05-19,Wednesday,May,no
2021-05-20,Thursday,May,no
2021-05-21,Friday,May,no
2021-05-22,Saturday,May,half
2021-05-23,Sunday,May,yes
2021-05-24,Monday,May,no
2021-05-25,Tuesday,May,no
2021-05-26,Wednesday,May,no
2021-05-27,Thursday,May,no
2021-05-28,Friday,May,no
2021-05-29,Saturday,May,half
2021-05-30,Sunday,May,yes
2021-05-31,Monday,May,no
2021-06-01,Tuesday,June,yes
2021-06-02,Wednesday,June,no
2021-06-03,Thursday,June,no
2021-06-04,Friday,June,no
2021-06-05,Saturday,June,half
2021-06-06,Sunday,June,yes
2021-06-07,Monday,June,no
2021-06-08,Tuesday,June,no
2021-06-09,Wednesday,June,no
2021-06-10,Thursday,June,no
2021-06-11,Friday,June,no
2021-06-12,Saturday,June,half
2021-06-13,Sunday,June,yes
2021-06-14,Monday,June,no
2021-06-15,Tuesday,June,no
2021-06-16,Wednesday,June,no
2021-06-17,Thursday,June,no
2021-06-18,Friday,June,no
2021-06-19,Saturday,June,half
2021-06-20,Sunday,June,yes
2021-06-21,Monday,June,no
2021-06-22,Tuesday,June,no
2021-06-23,Wednesday,June,no
2021-06-24,Thursday,June,no
2021-06-25,Friday,June,no
2021-06-26,Saturday,June,half
2021-06-27,Sunday,June,yes
2021-06-28,Monday,June,no
2021-06-29,Tuesday,June,no
2021-06-30,Wednesday,June,no
2021-07-01,Thursday,July,no
2021-07-02,Friday,July,no
2021-07-03,Saturday,July,half
2021-07-04,Sunday,July,yes
2021-07-05,Monday,July,no
2021-07-06,Tuesday,July,no
2021-07-07,Wednesday,July,no
2021-07-08,Thursday,July,no
2021-07-09,Friday,July,no
2021-07-10,Saturday,July,half
2021-07-11,Sunday,July,yes
2021-07-12,Monday,July,no
2021-07-13,Tuesday,July,no
2021-07-14,Wednesday,July,no
2021-07-15,Thursday,July,no
2021-07-16,Friday,July,no
2021-07-17,Saturday,July,half
2021-07-18,Sunday,July,yes
2021-07-19,Monday,July,no
2021-07-20,Tuesday,July,no
2021-07-21,Wednesday,July,no
2021-07-22,Thursday,July,no
2021-07-23,Friday,July,no
2021-07-24,Saturday,July,half
2021-07-25,Sunday,July,yes
2021-07-26,Monday,July,no
2021-07-27,Tuesday,July,no
2021-07-28,Wednesday,July,no
2021-07-29,Thursday,July,no
2021-07-30,Friday,July,no
2021-07-31,Saturday,July,half
2021-08-01,Sunday,August,yes
2021-08-02,Monday,August,no
2021-08-03,Tuesday,August,no
2021-08-04,Wednesday,August,no
2021-08-05,Thursday,August,no
2021-08-06,Friday,August,no
2021-08-07,Saturday,August,half
2021-08-08,Sunday,August,yes
2021-08-09,Monday,August,no
2021-08-10,Tuesday,August,no
2021-08-11,Wednesday,August,no
2021-08-12,Thursday,August,yes
2021-08-13,Friday,August,no
2021-08-14,Saturday,August,half
2021-08-15,Sunday,August,yes
2021-08-16,Monday,August,no
2021-08-17,Tuesday,August,no
2021-08-18,Wednesday,August,no
2021-08-19,Thursday,August,no
2021-08-20,Friday,August,no
2021-08-21,Saturday,August,half
2021-08-22,Sunday,August,yes
2021-08-23,Monday,August,no
2021-08-24,Tuesday,August,no
2021-08-25,Wednesday,August,no
2021-08-26,Thursday,August,no
2021-08-27,Friday,August,no
2021-08-28,Saturday,August,half
2021-08-29,Sunday,August,yes
2021-08-30,Monday,August,no
2021-08-31,Tuesday,August,no
2021-09-01,Wednesday,September,no
2021-09-02,Thursday,September,no
2021-09-03,Friday,September,no
2021-09-04,Saturday,September,half
2021-09-05,Sunday,September,yes
2021-09-06,Monday,September,no
2021-09-07,Tuesday,September,no
2021-09-08,Wednesday,September,no
2021-09-09,Thursday,September,no
2021-09-10,Friday,September,no
2021-09-11,Saturday,September,half
2021-09-12,Sunday,September,yes
2021-09-13,Monday,September,no
2021-09-14,Tuesday,September,no
2021-09-15,Wednesday,September,no
2021-09-16,Thursday,September,no
2021-09-17,Friday,September,no
2021-09-18,Saturday,September,half
2021-09-19,Sunday,September,yes
2021-09-20,Monday,September,no
2021-09-21,Tuesday,September,no
2021-09-22,Wednesday,September,no
2021-09-23,Thursday,September,no
2021-09-24,Friday,September,no
2021-09-25,Saturday,September,half
2021-09-26,Sunday,September,yes
2021-09-27,Monday,September,no
2021-09-28,Tuesday,September,no
2021-09-29,Wednesday,September,no
2021-09-30,Thursday,September,no
2021-10-01,Friday,October,no
2021-10-02,Saturday,October,half
2021-10-03,Sunday,October,yes
2021-10-04,Monday,October,no
2021-10-05,Tuesday,October,no
2021-10-06,Wednesday,October,no
2021-10-07,Thursday,October,no
2021-10-08,Friday,October,no
2021-10-09,Saturday,October,half
2021-10-10,Sunday,October,yes
2021-10-11,Monday,October,no
2021-10-12,Tuesday,October,no
2021-10-13,Wednesday,October,no
2021-10-14,Thursday,October,no
2021-10-15,Friday,October,no
2021-10-16,Saturday,October,half
2021-10-17,Sunday,October,yes
2021-10-18,Monday,October,no
2021-10-19,Tuesday,October,no
2021-10-20,Wednesday,October,no
2021-10-21,Thursday,October,no
2021-10-22,Friday,October,no
2021-10-23,Saturday,October,half
2021-10-24,Sunday,October,yes
2021-10-25,Monday,October,no
2021-10-26,Tuesday,October,no
2021-10-27,Wednesday,October,no
2021-10-28,Thursday,October,no
2021-10-29,Friday,October,no
2021-10-30,Saturday,October,half
2021-10-31,Sunday,October,yes
2021-11-01,Monday,November,no
2021-11-02,Tuesday,November,no
2021-11-03,Wednesday,November,no
2021-11-04,Thursday,November,no
2021-11-05,Friday,November,no
2021-11-06,Saturday,November,half
2021-11-07,Sunday,November,yes
2021-11-08,Monday,November,no
2021-11-09,Tuesday,November,no
2021-11-10,Wednesday,November,no
2021-11-11,Thursday,November,no
2021-11-12,Friday,November,no
2021-11-13,Saturday,November,half
2021-11-14,Sunday,November,yes
2021-11-15,Monday,November,no
2021-11-16,Tuesday,November,no
2021-11-17,Wednesday,November,no
2021-11-18,Thursday,November,no
2021-11-19,Friday,November,no
2021-11-20,Saturday,November,half
2021-11-21,Sunday,November,yes
2021-11-22,Monday,November,no
2021-11-23,Tuesday,November,no
2021-11-24,Wednesday,November,no
2021-11-25,Thursday,November,no
2021-11-26,Friday,November,no
2021-11-27,Saturday,November,half
2021-11-28,Sunday,November,yes
2021-11-29,Monday,November,no
2021-11-30,Tuesday,November,no
2021-12-01,Wednesday,December,no
2021-12-02,Thursday,December,no
2021-12-03,Friday,December,no
2021-12-04,Saturday,December,half
2021-12-05,Sunday,December,yes
2021-12-06,Monday,December,no
2021-12-07,Tuesday,December,no
2021-12-08,Wednesday,December,no
2021-12-09,Thursday,December,no
2021-12-10,Friday,December,no
2021-12-11,Saturday,December,half
2021-12-12,Sunday,December,yes
2021-12-13,Monday,December,no
2021-12-14,Tuesday,December,no
2021-12-15,Wednesday,December,no
2021-12-16,Thursday,December,no
2021-12-17,Friday,December,no
2021-12-18,Saturday,December,half
2021-12-19,Sunday,December,yes
2021-12-20,Monday,December,no
2021-12-21,Tuesday,December,no
2021-12-22,Wednesday,December,no
2021-12-23,Thursday,December,no
2021-12-24,Friday,December,no
2021-12-25,Saturday,December,half
2021-12-26,Sunday,December,yes
2021-12-27,Monday,December,no
2021-12-28,Tuesday,December,no
2021-12-29,Wednesday,December,no
2021-12-30,Thursday,December,no
2021-12-31,Friday,December,no
2022-01-01,Saturday,January,yes
